"contentType","ts","value"
Trading,1727424000,53657762
Trading,1728309600,31437103
Trading,1728201600,56097476
Trading,1728194400,12459430
Trading,1728180000,21408555
Trading,1728324000,96346076
Trading,1727856000,27494385
Trading,1727589600,13515409
Trading,1727575200,940089
Trading,1728331200,44819851
Trading,1727604000,9213500
Trading,1728187200,3459475
Trading,1728583200,117166386
Trading,1727942400,12240467
Trading,1728144000,33682270
Trading,1727863200,7894549
Trading,1728396000,9282273
Trading,1728057600,39117295
Trading,1728036000,210131057
Trading,1728129600,11428940
Trading,1728403200,42172364
Trading,1728597600,19696321
Trading,1728669600,42494368
Trading,1727949600,46465851
Trading,1728172800,61293147
Trading,1728640800,27600095
Trading,1727906400,36240604
Trading,1728381600,24737632
Trading,1728338400,19145936
Other File Sharing,1727164800,4730400
Other File Sharing,1728676800,416350513
Other File Sharing,1727546400,2105524
Other File Sharing,1728057600,4595294
Other File Sharing,1727395200,407141541
Other File Sharing,1727409600,187534
One Click Hosting,1728388800,3665438753
Other File Sharing,1727654400,3337354
Other File Sharing,1727690400,4798135
Trading,1727510400,33946168
Other File Sharing,1728727200,102722
One Click Hosting,1727942400,13017251081
Other File Sharing,1728338400,3948578
One Click Hosting,1727568000,12004439754
One Click Hosting,1727726400,15236890303
One Click Hosting,1728208800,16280218619
Email,1728439200,562899601
Trading,1728511200,38345908
Trading,1728288000,27341509
Other File Sharing,1727452800,3759073
Other File Sharing,1727460000,410834463
Other File Sharing,1727726400,4703192
Other File Sharing,1727640000,7641944
Other File Sharing,1727805600,4129618
Other File Sharing,1728151200,4903480
Other File Sharing,1727625600,451247488
Other File Sharing,1727827200,3361193
Other File Sharing,1728316800,4434785
Other File Sharing,1728187200,1723907
Trading,1727755200,1896893
Trading,1728208800,54679423
Trading,1727884800,36834680
Trading,1727827200,21389631
Trading,1728525600,11624286
Trading,1727877600,68565159
Trading,1728093600,7639867
Trading,1727762400,20003489
Trading,1727524800,69712419
Trading,1727244000,12829895
Trading,1727690400,23986728
Trading,1727625600,36920658
One Click Hosting,1728338400,3259011409
Trading,1727834400,29516934
Trading,1728439200,5218157
Trading,1728115200,34268843
Trading,1727668800,20932592
Trading,1727294400,29850930
Trading,1728604800,26838668
Trading,1727344800,30654264
Trading,1728482400,806994
Trading,1727460000,40593076
Trading,1728122400,40028298
Trading,1728698400,2282199
